VIN	order_num	vendor_name	part_number	description	price	status	qty
0JES2I2HOUR283757	001	Betasoloin	BN-EAEESS0058	Battery control system	96.66	installed	1	
0JES2I2HOUR283757	001	Betasoloin	BN-EAEWH0131	Underfloor harness	65.51	installed	1	
0JES2I2HOUR283757	002	Betasoloin	BN-EAEGAM0071	Tire pressure gauge	76.84	installed	1	
0JES2I2HOUR283757	002	Betasoloin	BN-EAEM0132	Air bag control module	29.31	installed	5	
0JES2I2HOUR283757	002	Betasoloin	BN-EAES0121	Ignition Switch	33.18	installed	5	
1REUJOXJD2T955464	003	Betasoloin	BN-EAEIS0076	Distributor	28.09	installed	1	
1REUJOXJD2T955464	003	Betasoloin	BN-EAELASS0089	License plate lamp	15.98	installed	1	
1VBYHU34ACA814687	002	Betasoloin	BN-EAEESS0061	Voltage regulator	70.48	installed	4	
1VBYHU34ACA814687	002	Betasoloin	BN-EAELASS0088	Interior light and lamp	104.99	received	1	
1VBYHU34ACA814687	002	Betasoloin	BN-EAES0099	Knock sensor	45.17	installed	3	
2FWYG72XL3P808371	001	Betasoloin	BN-BAED0031	Lock	39.53	ordered	1	
2FWYG72XL3P808371	001	Betasoloin	BN-PACBS0192	Air brake nylon hose	17.84	installed	1	
6DOO2Y5ZN3C006211	003	Betasoloin	BN-EAEGAM0071	Tire pressure gauge	348.65	ordered	1	
6DOO2Y5ZN3C006211	003	Betasoloin	BN-EAES0096	Crankshaft position sensor	364.75	installed	1	
6DOO2Y5ZN3C006211	003	Betasoloin	BN-ICS0153	Armrest	308.37	installed	1	
7AESLJ27KQU502914	002	Betasoloin	BN-EAELASS0092	Tail light cover	189.95	ordered	1	
8Z05OAZNX2V539073	001	Betasoloin	BN-BAE0018	Rear spoiler	81.66	ordered	1	
8Z05OAZNX2V539073	001	Betasoloin	BN-BAED0024	Outer door handle	107.22	installed	1	
8Z05OAZNX2V539073	001	Betasoloin	BN-BAEW0036	Window motor	224.88	received	1	
BSXYFD7API0946760	001	Betasoloin	BN-BAED0029	Hinge	12.89	installed	1	
BSXYFD7API0946760	001	Betasoloin	BN-EAEGAM0063	Clinometer	4.09	installed	5	
BSXYFD7API0946760	001	Betasoloin	BN-EAELASS0083	Engine bay lighting	7.10	installed	1	
